Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.43.45-192.168.43.10-49152-3455-6,192.168.43.45,49152,192.168.43.10,3455,6,2026-05-11T00:42:47.42196+05:30,73,2,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41095.890411,36.500000,50.204581,72.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,40,20,27397.260274,13698.630137,0.000000,0.000000,0.000000,0.000000,0.000000,0,2,1,0,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,65535,0,0,20,73.000000,0.000000,73.000000,73.000000,0.000000,0.000000,0.000000,0.000000,Backend Crash
192.168.43.10-192.168.43.45-3455-49152-6,192.168.43.10,3455,192.168.43.45,49152,6,2026-05-11T00:42:47.42206+05:30,0,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,+Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,20,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,BENIGN
192.168.43.10-142.250.77.106-36370-443-6,192.168.43.10,36370,142.250.77.106,443,6,2026-05-11T00:42:47.404597+05:30,1053803,5,8,1310,1683,740.000000,0.000000,262.000000,363.758161,1348.000000,0.000000,210.375000,465.932839,2840.189295,12.336272,87816.916667,224158.160264,790917.000000,1.000000,185313.000000,46328.250000,53321.755531,101541.000000,594.000000,971418.000000,138774.000000,289796.448134,790917.000000,1.000000,2,3,0,0,168,264,4.744720,7.591552,0.000000,1348.000000,230.230769,414.038475,171427.858974,1,2,0,5,12,0,0,0,1.000000,230.230769,262.000000,210.375000,0,0,0,0,0,0,0,0,0,0,64240,1046,2,32,1053803.000000,0.000000,1053803.000000,1053803.000000,0.000000,0.000000,0.000000,0.000000,BENIGN
192.168.43.10-142.250.77.106-36370-443-6,192.168.43.10,36370,142.250.77.106,443,6,2026-05-11T00:42:48.458464+05:30,1826,4,0,24,0,24.000000,0.000000,6.000000,12.000000,0.000000,0.000000,0.000000,0.000000,13143.483023,2190.580504,608.666667,812.338805,1542.000000,61.000000,1826.000000,608.666667,812.338805,1542.000000,61.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0,140,0,2190.580504,0.000000,0.000000,24.000000,6.000000,12.000000,144.000000,1,0,0,1,4,0,0,0,0.000000,6.000000,6.000000,0.000000,0,0,0,0,0,0,0,0,0,0,63,0,1,32,1826.000000,0.000000,1826.000000,1826.000000,0.000000,0.000000,0.000000,0.000000,BENIGN
142.250.77.106-192.168.43.10-443-36370-6,142.250.77.106,443,192.168.43.10,36370,6,2026-05-11T00:42:48.463289+05:30,0,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,+Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,32,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0,0,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,1046,0,0,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,BENIGN
192.168.43.10-142.250.77.106-36370-443-6,192.168.43.10,36370,142.250.77.106,443,6,2026-05-11T00:42:48.463337+05:30,67061,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.823593,67061.000000,0.000000,67061.000000,67061.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,44,20,14.911797,14.911797,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,66,0,0,44,67061.000000,0.000000,67061.000000,67061.000000,0.000000,0.000000,0.000000,0.000000,BENIGN
142.250.77.106-192.168.43.10-443-36370-6,142.250.77.106,443,192.168.43.10,36370,6,2026-05-11T00:42:48.530401+05:30,0,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,+Inf,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,20,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,BENIGN
192.168.43.45-192.168.43.10-49152-3455-6,192.168.43.45,49152,192.168.43.10,3455,6,2026-05-11T00:42:49.482034+05:30,75,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26666.666667,75.000000,0.000000,75.000000,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,20,20,13333.333333,13333.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,1,0,0,0,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,65535,0,0,20,75.000000,0.000000,75.000000,75.000000,0.000000,0.000000,0.000000,0.000000,Syn
192.168.43.45-192.168.43.10-49152-3455-6,192.168.43.45,49152,192.168.43.10,3455,6,2026-05-11T00:42:51.734593+05:30,84,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23809.523810,84.000000,0.000000,84.000000,84.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,20,20,11904.761905,11904.761905,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,1,0,0,0,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,65535,0,0,20,84.000000,0.000000,84.000000,84.000000,0.000000,0.000000,0.000000,0.000000,Syn
192.168.43.45-192.168.43.10-49152-3455-6,192.168.43.45,49152,192.168.43.10,3455,6,2026-05-11T00:42:53.57815+05:30,79,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25316.455696,79.000000,0.000000,79.000000,79.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,20,20,12658.227848,12658.227848,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,1,0,0,0,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,65535,0,0,20,79.000000,0.000000,79.000000,79.000000,0.000000,0.000000,0.000000,0.000000,Syn
192.168.43.45-192.168.43.10-49152-3455-6,192.168.43.45,49152,192.168.43.10,3455,6,2026-05-11T00:42:55.830675+05:30,77,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25974.025974,77.000000,0.000000,77.000000,77.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,20,20,12987.012987,12987.012987,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,1,0,0,0,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,65535,0,0,20,77.000000,0.000000,77.000000,77.000000,0.000000,0.000000,0.000000,0.000000,Syn
192.168.43.45-192.168.43.10-49152-3455-6,192.168.43.45,49152,192.168.43.10,3455,6,2026-05-11T00:42:57.46981+05:30,73,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27397.260274,73.000000,0.000000,73.000000,73.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,20,20,13698.630137,13698.630137,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,1,0,0,0,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,65535,0,0,20,73.000000,0.000000,73.000000,73.000000,0.000000,0.000000,0.000000,0.000000,Syn
192.168.43.45-192.168.43.10-49152-3455-6,192.168.43.45,49152,192.168.43.10,3455,6,2026-05-11T00:42:59.516707+05:30,70,1,1,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28571.428571,70.000000,0.000000,70.000000,70.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,20,20,14285.714286,14285.714286,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,1,0,1,0,0,0,1.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,65535,0,0,20,70.000000,0.000000,70.000000,70.000000,0.000000,0.000000,0.000000,0.000000,Syn
